minute,ip,request_frequency,packets_sum,bytes_sum,unique_ports,traffic_zscore,failed_login_count,unusual_login_time
2026-03-31 19:34:00+00:00,127.0.0.1,385,554,664800,33,-0.8560230787344073,0,0
2026-03-31 19:34:00+00:00,192.168.1.34,469,557,668400,4,-0.8441338693075405,0,0
2026-03-31 19:35:00+00:00,127.0.0.1,739,1064,1276800,33,1.1651425238329431,0,0
2026-03-31 19:35:00+00:00,192.168.1.34,899,1048,1257600,4,1.1017334068896538,0,0
2026-03-31 19:36:00+00:00,127.0.0.1,723,1050,1260000,33,1.109659546507565,0,0
2026-03-31 19:36:00+00:00,192.168.1.34,741,906,1087200,4,0.5389774940179601,0,0
2026-03-31 19:37:00+00:00,127.0.0.1,352,506,607200,32,-1.0462504295642756,0,0
2026-03-31 19:37:00+00:00,192.168.1.34,362,475,570000,4,-1.1691055936418988,0,0
