minute,ip,request_frequency,packets_sum,bytes_sum,unique_ports,traffic_zscore,failed_login_count,unusual_login_time,anomaly_score,model_anomaly,heuristic_unusual_login,heuristic_failed_attempts,heuristic_traffic_spike,heuristic_request_spike,heuristic_score,agent_attack_signal,severity,reason,cluster_id,attack_type,risk_score
2026-03-31 19:34:00+00:00,127.0.0.1,385,554,664800,33,-0.8560230787344073,0,0,-0.0020828904806057813,0,0,0,0,1,1,1,low,request frequency spike,1,Port Scan,34
2026-03-31 19:34:00+00:00,192.168.1.34,469,557,668400,4,-0.8441338693075405,0,0,0.0023917654110909015,0,0,0,0,1,1,1,low,request frequency spike,2,Unknown,28
2026-03-31 19:35:00+00:00,127.0.0.1,739,1064,1276800,33,1.1651425238329431,0,0,0.04496069826130725,0,0,0,0,1,1,1,low,request frequency spike,0,Port Scan,34
2026-03-31 19:35:00+00:00,192.168.1.34,899,1048,1257600,4,1.1017334068896538,0,0,0.02796942092279793,0,0,0,0,1,1,1,low,request frequency spike,3,Unknown,28
2026-03-31 19:36:00+00:00,127.0.0.1,723,1050,1260000,33,1.109659546507565,0,0,0.07092581315687776,0,0,0,0,1,1,1,low,request frequency spike,0,Port Scan,34
2026-03-31 19:36:00+00:00,192.168.1.34,741,906,1087200,4,0.5389774940179601,0,0,0.026278271891203075,0,0,0,0,1,1,1,low,request frequency spike,3,Unknown,28
2026-03-31 19:37:00+00:00,127.0.0.1,352,506,607200,32,-1.0462504295642756,0,0,-0.006086172983152782,0,0,0,0,1,1,1,low,request frequency spike,1,Port Scan,34
2026-03-31 19:37:00+00:00,192.168.1.34,362,475,570000,4,-1.1691055936418988,0,0,-0.015845094748979938,0,0,0,0,1,1,1,low,request frequency spike,2,Unknown,28
